Brand  ,Country  ,Whiskies  ,Votes  ,Rating  ,WB Ranking  ,
Knob Creek,United States,208,65,82.50,D,
Knockando,Scotland,337,226,83.88,D,
Knockandy Hill,,1,,,G,
Knockdhu,Scotland,76,63,83.77,D,
Knockeen Hills,Ireland,7,4,77.45,E,
Knockmore,Ireland,1,,,G,
Koh-Kun,Japan,1,,,G,
Kohut,Germany,1,,,G,
Kolme Leijonaa,Finland,3,1,68.00,G,
Koma Fuji,Japan,1,1,67.75,G,
Kommunen Schnaps,Germany,3,3,87.57,C,
Köppel Brennerei,Germany,1,,,G,
Kopper Kettle,United States,5,,,G,
Kord's,Czech Republic,1,,,G,
Kornog,France,75,67,86.04,C,
Koshu,Japan,8,4,71.23,F,
Koudeta,Scotland,1,1,81.00,D,
Koval,United States,84,44,78.42,E,
Kozuba & Sons,United States,3,1,72.13,F,
Kozue,Japan,1,,,G,
Krautheimer,Germany,5,4,76.19,E,
Kremstaler-Whisky,Austria,1,,,G,
Krobār,United States,4,,,G,
Krottentaler,Germany,4,1,72.75,F,
Krucefix,Slovenia,2,1,42.00,G,
Kuchh Nai,Scotland,1,1,79.25,E,
Kujira,Japan,7,6,86.92,C,
Kukmirn,Austria,2,2,70.50,F,
Kullmann's,Germany,3,,,G,
Kumataka,Japan,1,1,47.50,G,
Kümin Weinbau,Switzerland,5,4,74.50,F,
Kura,Japan,6,5,76.14,E,
Kylemore,Scotland,4,1,56.00,G,
Kymsee,Germany,17,10,77.61,E,
Kyrgyz Whiskey,Kyrgyzstan,1,1,58.00,G,
Kyrö Distillery Company,Finland,24,16,80.93,D,
l'Oncle Meyer,France,1,,,G,
L'Oubli,,2,1,86.60,C,
L. Mulligan Grocer,Ireland,1,1,81.00,D,
L.&G.,United States,1,,,G,
LA 1,United States,2,,,G,
La Alazana,Argentina,5,1,86.00,C,
La Cave de la Madelaine,France,1,,,G,
La Famiglia Nostra,Germany,64,55,89.30,C,
La Orden del Libertador,Argentina,2,,,G,
La Piautre,France,1,,,G,
La Reserve,Scotland,1,,,G,
La Roche aux Fées,France,2,2,84.25,D,
Label 5,Scotland,20,13,73.55,F,
Lac'Holl,France,3,3,80.67,D,
Lachlan,Australia,3,2,88.00,C,
Lachlan's,Scotland,1,,,G,
Ladder Hills,Scotland,1,1,86.14,C,
Lady Luck,Scotland,2,2,88.66,C,
Lady Nicol,Scotland,2,,,G,
Ladyburn,Scotland,52,37,88.28,C,
Lagafoya,Germany,1,1,88.00,C,
Lagavulin,Scotland,525,471,88.22,C,
Lagg,Scotland,3,2,80.57,D,
Laggan Mill,Scotland,32,29,85.57,C,
Lagler,Austria,4,4,81.38,D,
Lahnsteiner Brauerei,Germany,3,3,79.19,E,
Laird O' Logan,Scotland,6,5,83.48,D,
Laird of Fintry,Canada,5,1,72.00,F,
Laird's Reserve,Scotland,,,,G,
Lakeland,Switzerland,15,9,80.65,D,
Lambay Whiskey,Ireland,7,6,78.55,E,
Lamberts Favourite,Scotland,1,,,G,
Lambertus,Belgium,6,6,74.32,F,
Lammerlaw,New Zealand,26,17,83.39,D,
Lanark,Scotland,1,,,G,
Lancelot,Scotland,4,1,85.00,C,
Lancer's Flag,Scotland,1,1,91.02,B,
Landbrennerei Mühlhäuser,Germany,2,2,70.50,F,
Lands of Scotland,Scotland,7,4,68.98,G,
Langatun,Switzerland,88,55,84.36,D,
Langs,Scotland,60,26,81.39,D,
Langside,Scotland,9,1,82.00,D,
Lanius,United States,1,,,G,
Lapbeg,Scotland,1,1,86.00,C,
Laphroaig,Scotland,2779,2245,87.56,C,
Large Club,Scotland,1,,,G,
Largiemeanoch,Scotland,19,14,90.27,B,
Lark,Australia,98,40,81.90,D,
Las Vegas Distillery,United States,17,17,80.56,D,
Lascaw,France,3,2,74.39,F,
Last Mountain,Canada,5,3,77.50,E,
Last Straw Distillery,Canada,2,1,91.00,B,
Laudale,Scotland,4,4,86.55,C,
Lauder's,Scotland,30,13,73.09,F,
Laughfrog,Scotland,1,,,G,
Launceston,Australia,7,3,73.83,F,
Lava Bräu,Austria,22,4,55.38,G,
Lawrence Scott,Scotland,1,,,G,
Lawrenceburg,United States,4,4,85.37,C,
Lawrenny,Australia,1,,,G,
Lawson's,Scotland,,,,G,
Lazy River,United States,1,,,G,
LBE,Scotland,1,,,G,
LBL,United States,3,,,G,
Le Breuil,France,3,3,77.64,E,
Le Dùrachdan,Scotland,1,1,79.17,E,
Le Frog,Scotland,1,1,84.14,D,
Le Grand Cru,,2,1,90.00,B,
Le Paradoxe,,2,1,89.78,C,
Le Pertuis,France,2,1,76.00,E,
Leabank,Scotland,,,,G,
Leadslingers,United States,2,,,G,
Lechtaler Haussegen,Austria,2,,,G,
Ledaig,Scotland,1067,944,86.51,C,
Legacy,Scotland,1,,,G,
Legendary Scot,Scotland,1,1,85.67,C,
Legent,United States,2,2,84.35,D,
Legs Diamond,United States,4,,,G,
Leith Still Room,Scotland,1,,,G,
LeNell's,United States,2,2,88.50,C,
Leòmhann,Scotland,2,2,87.29,C,
Leopold Bros,United States,12,3,56.64,G,
Lexington,United States,5,1,76.33,E,
LF Whisky,,1,,,G,
Liar's Bench,United States,1,,,G,
Liber,Spain,26,11,81.84,D,
Liberty Call,United States,1,,,G,
Liberty London,United Kingdom,1,,,G,
Liberty Pole Spirits,United States,2,,,G,
Lichtburg,Germany,,,,G,
Liddesdale,Scotland,10,10,86.75,C,
Light Brigade,Scotland,1,1,70.00,F,
Lightning Raven,United States,1,,,G,
Like a Villain,Scotland,1,1,83.64,D,
Limeburners,Australia,50,19,79.88,E,
Limerick,Ireland,11,9,87.87,C,
Limestone Branch,United States,9,1,87.00,C,
Limited,Scotland,1,1,88.50,C,
Limousin Rye,United States,1,,,G,
Lindores Abbey,Scotland,7,4,83.33,D,
Lindrum,Scotland,2,1,80.00,D,
Lingdarroch,Scotland,2,1,78.50,E,
LINK,,1,,,G,
Linkphroaigh,Scotland,1,1,83.00,D,
Linkwood,Scotland,1717,1194,86.01,C,
Linlithgow,Scotland,92,73,88.11,C,
Linn House Reserve,Scotland,4,4,88.50,C,
Lion's Best,Scotland,1,,,G,
Lion's Pride,United States,14,3,72.00,F,
Lion's Vat,Scotland,1,1,92.00,B,
Lionstone,United States,1,1,81.50,D,
Lip Service,United States,1,,,G,
Liquormen’s Ol’ Dirty Canadian Whisky,Canada,1,,,G,
Lismore,Scotland,20,12,77.18,E,
Little Book,United States,5,4,88.31,C,
Little Brown Dog,Scotland,1,1,88.50,C,
Little Frog,Scotland,1,1,60.00,G,
Little Mück,Germany,1,1,77.33,E,
Little Piggy,Scotland,2,2,79.63,E,
Little Red Door,France,1,,,G,
Little Thin Man,Scotland,1,,,G,
Littlemill,Scotland,615,527,87.33,C,
Liverpool Whisky,England,2,1,79.00,E,
Living Cask Sample,Netherlands,1,,,G,
Liwhinthsky,Switzerland,2,2,76.67,E,
Lo Artisan,United States,1,,,G,
Lobangernich,Germany,5,4,74.86,F,
Local Choice,United States,1,,,G,
Loch Alvie,Scotland,,,,G,
Loch Bay,Scotland,2,,,G,
Loch Brewery & Distillery,Australia,5,,,G,
Loch Castle,Scotland,3,2,66.75,G,
Loch Corrie,Scotland,1,,,G,
Loch Dhu,Scotland,1,,,G,
Loch Donald,Scotland,1,,,G,
Loch Ewe,Scotland,13,5,69.59,G,
Loch Fyne,Scotland,1,,,G,
Loch Ìle,Scotland,1,1,83.29,D,
Loch Imrie,Scotland,1,,,G,
Loch Indaal,Scotland,16,7,89.42,C,
Loch Islay,Scotland,1,,,G,
Loch Lomond,Scotland,325,253,83.03,D,
Loch Morar,Scotland,3,1,87.00,C,
Loch Ness,Scotland,7,3,76.90,E,
Loch Ness Water,Scotland,1,,,G,
Loch Troon,Scotland,1,,,G,
Lochan Sholum,Scotland,1,1,87.86,C,
Lochan Solan,Scotland,2,,,G,
Lochhead,Scotland,1,,,G,
Lochindaal,Scotland,62,50,87.60,C,
Lochinvar,Scotland,5,2,75.75,E,
Lochlann,Scotland,2,1,85.00,C,
Lochleven,Scotland,1,,,G,
Lochlins,Scotland,1,,,G,
Lochmaddy,Scotland,1,,,G,
Lochness,Scotland,1,,,G,
Lochranza,Scotland,41,32,82.93,D,
Lochruan,Scotland,1,1,77.25,E,
Lochside,Scotland,195,171,88.59,C,
Lock Stock & Barrel,Canada,3,2,88.30,C,
Locke's,Ireland,23,10,78.85,E,
Lodhian,Sweden,1,,,G,
Logan,Scotland,24,12,84.03,D,
Logan's,Scotland,8,3,87.50,C,
Lohin McKinnon,Canada,4,1,83.00,D,
Lokovisky,Slovenia,1,,,G,
Lombard Gold Label,Scotland,3,2,80.04,D,
Lomond,Scotland,4,4,83.88,D,
Lonach,Scotland,13,1,85.00,C,
London Single Malt Spirit,United Kingdom,5,,,G,
Lone Elm,United States,4,3,86.83,C,
Lone Oak,United States,1,1,92.00,B,
Lone Whisker,United States,1,1,87.00,C,
Lonehand Whiskey,United States,3,1,72.00,F,
Lonely Poachers Malt,Switzerland,1,,,G,
Lonerider,United States,1,,,G,
Long Island o'OldTymer,United States,,,,G,
Long John,Scotland,59,30,78.77,E,
Long Wood,Canada,3,3,65.93,G,
Longhair Jim,United States,3,,,G,
Longhorn Moonshine,Germany,3,1,85.50,C,
Longman,Scotland,2,1,87.50,C,
Longmorn,Scotland,1455,1141,87.41,C,
Longrow,Scotland,593,379,87.69,C,
Lord,Scotland,1,,,G,
Lord Astor,Scotland,4,,,G,
Lord Calvert,Canada,14,3,72.22,F,
Lord Douglas,Scotland,4,1,72.50,F,
Lord Dudley,Scotland,1,,,G,
Lord Elcho,Scotland,2,2,78.85,E,
Lord Hilton,Scotland,1,,,G,
Lord Kent,Scotland,1,,,G,
Lord Low,Scotland,1,1,82.00,D,
Lord Mayor,Scotland,,,,G,
Lord Nelson,Scotland,3,,,G,
Lord of Glencoes,,2,2,82.50,D,
Lord of Ireland,Ireland,1,1,85.64,C,
Lord of Islay,Scotland,1,1,85.50,C,
Lord of the Highlands,Scotland,2,2,87.00,C,
Lord Randolph,United Kingdom,1,,,G,
Lord Richmond,Scotland,3,,,G,
Lord Ronald,Scotland,1,,,G,
Lord Roxburgh,Scotland,1,1,86.75,C,
Lord Roy,Scotland,1,,,G,
Lord Salisbury,Scotland,3,1,86.00,C,
Lord Waterloo,Scotland,1,1,85.00,C,
Lord Wyll,Scotland,1,,,G,
Lordly,France,1,1,78.50,E,
Lords '87,Scotland,2,,,G,
Loretto,Scotland,2,,,G,
Lorrain,France,1,1,10.00,G,
Los 2 Compadres,Mexico,3,1,81.00,D,
Los Angeles Country Club,United States,1,,,G,
Lossieburn,Scotland,3,3,87.44,C,
Lossit,Scotland,8,7,82.38,D,
Lost & Found,Scotland,1,1,92.00,B,
Lost Gods,,2,2,86.88,C,
Lost Lake,United States,1,,,G,
Lost Prophet,United States,1,1,87.60,C,
Lost Republic,United States,4,,,G,
Lost Spirits,United States,21,17,72.02,F,
Lot No. 40,Canada,16,15,83.19,D,
Lothlend,Scotland,1,1,72.00,F,
Lotus Lord,Scotland,1,1,91.00,B,
Louisville,United States,1,1,89.00,C,
Loup Hardi,France,2,1,82.00,D,
Love's,Scotland,1,1,74.00,F,
Lovie,Scotland,1,,,G,
Low Gap,United States,10,,,G,
Lower East Side,Scotland,2,1,78.18,E,
Lowland,Scotland,14,10,82.96,D,
Lowland Blended Malt,Scotland,4,3,85.67,C,
Lowland Dew,Scotland,,,,G,
Lowland Malt,Scotland,2,2,84.80,D,
Lowland Orchard,Germany,,,,G,
Lowland Region,Scotland,2,2,83.17,D,
Lowland Single Grain Scotch Whisky,Scotland,1,,,G,
Lowland Single Malt,Scotland,2,1,84.00,D,
Lowlander by the Sea,Scotland,1,1,78.24,E,
Lowrie,Scotland,,,,G,
LS Schwoiga,Germany,2,,,G,
Luca Mariano,United States,3,,,G,
Lucifer's Gold,,1,1,47.33,G,
Lucky Bastard,Canada,3,2,84.50,D,
Ludlow Whisky Company,United Kingdom,3,1,72.50,F,
Lungauer Whisky,Austria,1,1,72.00,F,
Lusty Claw,United States,1,,,G,
Lüthy,Switzerland,9,7,82.44,D,
Lux Row Distillers,United States,1,,,G,
Luzerner Hinterländer,Switzerland,9,6,78.47,E,
Lynch Isle,Scotland,1,1,87.06,C,
Lynchburg Distillery,United States,1,,,G,
Lynton,Scotland,2,,,G,
Lyon Distilling,United States,2,,,G,
M D Ancient & Honorable,Scotland,3,,,G,
M is for Magic,Scotland,1,1,86.33,C,
M&H,Israel,81,59,83.22,D,
M.P.,Scotland,3,,,G,
Mac Albert,Scotland,1,,,G,
Mac Andrew's,Scotland,1,,,G,
Mac Ausland's,Scotland,1,1,68.00,G,
Mac Bervie,Scotland,2,,,G,
Mac Bride's,Scotland,1,1,77.00,E,
Mac Bundy,Scotland,2,,,G,
Mac Callister,Scotland,3,1,70.00,F,
Mac Dermond,Scotland,1,,,G,
Mac Donan,Scotland,1,,,G,
Mac Dugald,Scotland,,,,G,
Mac Dugan,Scotland,31,15,81.76,D,
Mac Field,Scotland,1,,,G,
Mac Gavin's,Scotland,1,,,G,
Mac Harry's,Scotland,2,,,G,
Mac Hogan,Scotland,1,,,G,
Mac Hoggan,Scotland,1,,,G,
Mac Ilroy,Scotland,1,,,G,
Mac Lean,Scotland,6,,,G,
Mac Malden,Scotland,5,4,77.13,E,
Mac Maroon No 5,Scotland,1,,,G,
Mac NaMara,Scotland,7,6,76.46,E,
Mac Nicoll,Scotland,3,,,G,
Mac Percy,Scotland,1,1,56.75,G,
Mac Queen,Scotland,4,1,77.50,E,
Mac Queens,Scotland,4,1,88.00,C,
Mac Spey,Scotland,2,2,73.50,F,
Mac-Talla,Scotland,3,2,84.16,D,
Macallan,Scotland,3055,2157,88.17,C,
Macaloney's,Canada,9,2,85.50,C,
Macardo,Switzerland,19,9,75.12,E,
MacArthur's,Scotland,12,7,77.44,E,
MacDonald's,Scotland,4,1,83.50,D,
MacDuck,Scotland,2,1,87.00,C,
Macduff,Scotland,743,526,85.29,C,
Macfie,Scotland,2,,,G,
Macgregor's,Scotland,11,3,83.08,D,
Machrie Moor,Scotland,25,23,83.70,D,
Macintyre,Scotland,1,,,G,
Mackenzie,Scotland,5,2,77.00,E,
Mackey,Australia,6,,,G,
Mackie's,Scotland,1,1,90.00,B,
Mackinlay's,Scotland,53,27,79.13,E,
MacKintosh Scotch,Scotland,4,1,81.00,D,
Mackintosh's,Scotland,,,,G,
Mackmyra,Sweden,446,337,82.58,D,
Maclachlans,Scotland,1,1,86.00,C,
Macleans,South Africa,1,,,G,
Maclean’s,Scotland,3,3,84.11,D,
Macleay Duff,Scotland,6,3,74.22,F,
MacLeod of MacLeod,Scotland,3,,,G,
Macleod's,Scotland,44,38,81.62,D,
MacLeod's Dram,Scotland,1,,,G,
MacMillan,Scotland,4,1,81.33,D,
MacNair's,Scotland,10,6,82.93,D,
MacNaughton,Canada,5,3,76.50,E,
MacPhail's,Scotland,104,80,87.97,C,
MacQueens of Scotland,Scotland,6,2,77.00,E,
MacRothes,Scotland,4,4,86.40,C,
Mactavish's,Scotland,1,,,G,
MacVicar's,Scotland,1,,,G,
Mad March Hare,Ireland,2,,,G,
Mad Maxine,Australia,1,1,87.00,C,
Mad River,United States,4,2,81.25,D,
Madelin,France,1,1,78.00,E,
Magic Cask,Scotland,2,2,88.87,C,
Magilligan,Ireland,4,3,80.91,D,
Magnificent Mellie,Scotland,1,1,87.24,C,
Magonia,,1,1,87.00,C,
Mahrs Bräu,Germany,1,1,69.25,G,
Maier's,Germany,1,1,51.67,G,
Main Fields,France,1,1,63.67,G,
Maison Benjamin Kuentz,France,4,4,80.43,D,
Major Gunn's,Scotland,2,2,53.50,G,
Major Pike's,Scotland,1,,,G,
Majority,Scotland,1,1,73.00,F,
Mak' Readie,Scotland,2,1,88.00,C,
Maker's 46,United States,8,6,83.71,D,
Maker's Mark,United States,270,101,81.12,D,
Makoto,Japan,1,,,G,
Malahat Spirits Co.,United States,2,,,G,
Malcolm Fraser's,Scotland,1,1,92.00,B,
Malcolm Stuart,Scotland,2,,,G,
Malloye,Ireland,2,,,G,
Malony's,Ireland,2,,,G,
Malt from the Isle,Scotland,1,1,80.00,D,
Malt Mill,Scotland,2,,,G,
Malt of Kail,Germany,3,3,72.28,F,
Malt Pedigree,Scotland,4,4,82.71,D,
Malt Riot,Scotland,1,1,79.56,E,
Malt Scotch Whisky,,,,,G,
Malt Whisky,,10,5,81.10,D,
Malts of Islay - Àlainn,Scotland,3,2,87.77,C,
Malts of Islay - Trom,Scotland,1,1,82.15,D,
Malzbeisser,Germany,1,1,89.50,C,
Mammoth,United States,5,1,69.00,G,
Mammoth Cave,United States,1,,,G,
Man's,,1,,,G,
Manchester United,Scotland,3,,,G,
Mandelbachtal,Germany,2,2,87.50,C,
Manderley,United States,1,1,84.00,D,
Mandlberggut,Austria,4,2,47.98,G,
Mängistörfler Whisky,Switzerland,3,,,G,
Manhattan Moonshine,United States,1,,,G,
Manifest,United States,1,,,G,
Manifesto,United States,2,,,G,
Manly Spirits,Australia,1,,,G,
Mannochmore,Scotland,371,271,84.33,D,
Mansion House,Scotland,12,3,69.10,G,
Maple Leaf,Canada,1,1,30.50,G,
Mapleshade,Canada,1,,,G,
Marchants,Scotland,2,,,G,
Marchmount Bowling Club,Scotland,1,1,84.00,D,
Marder,Germany,14,10,80.32,D,
Margadale,Scotland,6,5,86.76,C,
Marie Louise Tissot,France,2,1,75.50,E,
Marie Stuart,Scotland,1,,,G,
Mark One,,1,,,G,
Mark Royal,Scotland,,,,G,
Mark Twain,United States,1,1,69.00,G,
Märkische Spezialitätenbrennerei,Germany,22,13,75.84,E,
Marlboro,Scotland,1,,,G,
Marlfield,Ireland,1,1,80.00,D,
Mars,Japan,230,170,86.61,C,
Mars Tsunuki,Japan,12,8,83.89,D,
Marshall Fields,United States,2,,,G,
Marshall's,United States,1,1,73.67,F,
Marshall's,Scotland,2,1,82.00,D,
Martes Santo,Spain,1,,,G,
Martin Grube Estate,United States,1,,,G,
Martin Mills,United States,2,1,91.83,B,
Martin's,Scotland,9,2,86.17,C,
Martin's Barrel,Czech Republic,2,2,82.00,D,
Martinsloch,Switzerland,2,2,85.00,C,
Mary Queen of Scots,Scotland,2,,,G,
Mary Read,Germany,2,1,66.50,G,
Mary Stuart,Scotland,2,1,84.00,D,
Maryland Club,United States,1,,,G,
Maryland Heritage,United States,1,,,G,
Marypark-Speyside,Scotland,2,2,87.50,C,
Mashing,Israel,1,1,87.00,C,
Mason's,United States,1,1,55.00,G,
Masonic Club,Scotland,1,,,G,
Master John,Scotland,1,1,75.00,E,
Masterpiece,United States,2,,,G,
Masterson's,Canada,17,14,82.56,D,
Masthead,Scotland,1,,,G,
Masthouse,United Kingdom,2,2,89.08,C,
Match Whisky,Scotland,12,5,82.55,D,
Matchstick,United States,1,,,G,
Matisse,Scotland,19,12,82.88,D,
Matt.D'Arcy,United Kingdom,2,2,85.50,C,
Matter Spirits,Switzerland,4,,,G,
Mattingly & Moore,United States,2,2,82.00,D,
Mature Your Own,Scotland,1,1,82.75,D,
Maund,Switzerland,3,1,82.00,D,
Maund's,Scotland,1,,,G,
Maverick Drinks,United Kingdom,12,3,84.40,D,
Mavericks,United States,1,,,G,
Max's Vat,Scotland,1,1,80.00,D,
Maxim's de Paris,,3,1,85.00,C,
Maximum Peat,Scotland,21,19,83.40,D,
Maximum Sherry,Scotland,2,2,84.34,D,
Maxwell,Scotland,2,2,87.91,C,
May-Lóag,Ireland,2,,,G,
Mayday Moonshine,United States,1,,,G,
Mayer's,Germany,9,7,74.57,F,
Mayfair,Scotland,2,,,G,
Mayor Pingree,United States,6,3,86.56,C,
MB Roland,United States,20,6,82.50,D,
Mc Albert,Scotland,1,,,G,
Mc Callahan,,1,,,G,
Mc Daniel,Scotland,1,1,82.00,D,
Mc Doune,Scotland,2,,,G,
Mc Elegance,Scotland,3,3,82.42,D,
Mc Illroy,Scotland,6,2,44.97,G,
Mc Intyre,Scotland,1,1,68.25,G,
Mc Lennan's,Scotland,2,,,G,
Mc of the Isles,Scotland,1,1,82.71,D,
Mc Peat,Scotland,2,1,81.59,D,
Mc Pink,Scotland,3,1,82.60,D,
Mc Roy,Scotland,1,,,G,
Mc Warrior,Scotland,2,2,83.19,D,
Mc. Patt's,Switzerland,,,,G,
McAfee's Benchmark,United States,4,4,74.29,F,
McAllister's,Scotland,1,,,G,
McAndrew's,Scotland,5,1,72.00,F,
McAndrews,Scotland,1,,,G,
McArthur,Scotland,1,,,G,
McCaig's Folly,Scotland,1,,,G,
McCall's,Scotland,2,,,G,
McCallum's,Scotland,12,7,73.00,F,
McCarthy's,Ireland,5,2,86.00,C,
McCarthy's Oregon,United States,21,17,82.57,D,
McClelland's,Scotland,42,29,76.33,E,
McConnell's,Ireland,2,1,80.00,D,
McCormack's,Ireland,1,1,76.50,E,
McCormick,United States,5,2,78.25,E,
McCrae's,Scotland,3,2,78.00,E,
McDowell's,India,7,3,48.43,G,
McGee,Germany,1,1,58.00,G,
McGibbon's,Scotland,19,4,74.12,F,
McGregor,Scotland,1,,,G,
McGuinness Distillers,Canada,12,1,84.22,D,
McHarry's,,1,,,G,
McHenry (AUS),Australia,7,3,86.17,C,
McHenry (USA),United States,2,,,G,
McIVOR,Scotland,3,1,60.00,G,
McKendric,United States,3,,,G,
McKendrick's,Scotland,4,2,76.00,E,
McKenzie,United States,17,6,77.61,E,
McKenzie,Scotland,6,,,G,
McKilgour,Scotland,2,2,75.00,E,
McKintush,Scotland,2,,,G,
McLintock,Scotland,2,2,62.41,G,
McLoughlin & Steel,Canada,2,,,G,
McMaster's,Scotland,1,,,G,
McNeill's Prototype,Scotland,13,12,86.31,C,
McSheelton,Scotland,1,,,G,
McTryn,Scotland,4,2,85.75,C,
Meadhan,Scotland,2,1,80.67,D,
Meadow Springs,United States,1,,,G,
Meadwood,United States,1,,,G,
Mealach,Scotland,1,1,81.60,D,
Medley,United States,4,3,72.33,F,
Medley Bros.,United States,2,1,86.00,C,
Medley Family,United States,6,,,G,
Medley's,United States,11,5,72.75,F,
Meisner,Germany,2,,,G,
Meissener Whisky,Germany,2,2,80.17,D,
Meiyo,Japan,2,,,G,
Mekong,Cambodia,2,1,40.50,G,
Melchers,Canada,1,,,G,
Meldrum House,Scotland,,,,G,
Melky Miller,United States,1,,,G,
Mellow Corn,United States,4,2,74.44,F,
Mellwood,United States,2,1,89.00,C,
Melrose,Scotland,1,,,G,
Melrose Bourbon,United States,2,1,88.00,C,
Melvale,United States,1,,,G,
Member,Scotland,,,,G,
Menagerie,Scotland,2,1,88.00,C,
Menhir,Germany,,,,G,
Menomonee Valley,United States,1,,,G,
Merica,United States,1,1,61.00,G,
Merrys,Ireland,6,2,74.88,F,
Method and Madness,Ireland,16,14,87.90,C,
Metropolitan,Scotland,3,1,79.00,E,
mettermalt,Germany,16,7,57.45,G,
Metze's,United States,1,1,88.00,C,
Meyer's,France,6,5,77.81,E,
Mhain Baraille,,3,1,89.00,C,
Mhairi's Special,Scotland,1,,,G,
Mic Mac,Scotland,1,1,41.75,G,
Mic.Drop.,United States,4,1,89.50,C,
Michael Collins,Ireland,11,4,76.44,E,
Michael Jackson,Scotland,1,1,82.96,D,
Michel Couvreur,France,38,30,87.05,C,
Michel Couvreur's Paradise,,1,1,91.00,B,
Michel Firino Martell,France,1,,,G,
Micheles,Austria,1,,,G,
Michter's,United States,341,173,84.44,D,
Micil,Ireland,4,3,84.22,D,
Middle West Spirits,United States,1,,,G,
Middleton,United States,1,,,G,
Midleton,Ireland,157,104,88.72,C,
Midnight Moon,United States,16,4,78.25,E,
Mikkeller Spirits,Denmark,1,,,G,
Milam & Greene,United States,2,,,G,
Milford,New Zealand,41,30,81.43,D,
Milhson's,Scotland,2,,,G,
Military Special,United States,1,1,61.00,G,
Millars,Ireland,6,3,75.94,E,
Millbrook,United States,1,,,G,
Millburn,Scotland,109,89,88.63,C,
Millennium,Scotland,1,,,G,
Millennium Club,Scotland,2,,,G,
Millennium Malt,Scotland,1,,,G,
Millstone,Netherlands,194,174,81.56,D,
Milroy's Finest,Scotland,1,1,85.00,C,
Miltonduff,Scotland,822,601,85.49,C,
Miltonhaugh,Scotland,4,4,92.23,B,
Minhas Distillery,United States,3,3,67.67,G,
Minor Case,United States,2,2,83.53,D,
Miscellaneous Distillery,United States,3,,,G,
Misky,Switzerland,1,,,G,
Missouri Spirits,United States,2,,,G,
Mitchell's,Scotland,5,4,80.20,D,
Mither Tap,Scotland,1,,,G,
Miyagikyo,Japan,144,100,86.75,C,
Mizen Head,Ireland,4,3,81.36,D,
Moare,Germany,2,1,70.00,F,
Moenks,Germany,1,1,80.11,D,
Moidart,Scotland,9,6,86.56,C,
Mola mola,Taiwan,1,1,91.20,B,
Molly Malone,Ireland,1,,,G,
Monarch,Scotland,2,,,G,
Moncreiffe,Scotland,4,3,80.23,D,
Monde Shuzou,Japan,3,2,67.50,G,
Monkey Shoulder,Scotland,17,16,79.18,E,
Monon Bell,United States,1,,,G,
Mons Meg,Scotland,1,,,G,
Monster,Scotland,1,,,G,
Monster's Choice,Scotland,7,3,75.07,E,
Montgomery County,United States,1,1,86.00,C,
Montgomery Scott,United States,,,,G,
Monumental,Scotland,2,2,70.10,F,
Moon Distilling,Canada,1,,,G,
Moon Glow,Japan,5,3,84.42,D,
Moon Harbour,France,18,5,80.02,D,
Moon River Blend,Scotland,1,,,G,
Moonshine,United States,8,2,68.25,G,
Moor Whisky,Germany,1,1,82.50,D,
Moorland,Scotland,10,2,82.25,D,
Morbank Mill,Scotland,1,1,86.58,C,
Mordred,,1,1,89.00,C,
Morpheus,Scotland,1,1,86.00,C,
Morrigan,Ireland,1,1,77.00,E,
Morrison,Scotland,3,,,G,
Morrison's,Scotland,2,,,G,
Morrison's Machrie,Scotland,2,,,G,
Morriston Gold,Scotland,1,1,76.00,E,
Mortimers,Scotland,2,1,88.00,C,
Mortlach,Scotland,1893,1462,86.13,C,
Morton's,Scotland,5,3,78.67,E,
Mortons,Scotland,2,1,85.00,C,
MOS,Scotland,3,2,82.47,D,
Moses,Finland,1,,,G,
Mosgaard,Denmark,36,26,82.04,D,
Mosstowie,Scotland,88,77,87.36,C,
Mosswood,United States,3,,,G,
Most Wanted,United States,1,1,71.75,F,
Mother's Toddy,Scotland,1,,,G,
Motörhead,United States,2,1,78.00,E,
Mount Eck,Germany,1,1,86.00,C,
Mount Everest,Nepal,1,1,26.00,G,
Mount Keen,Scotland,4,2,60.50,G,
Mount Vernon,United States,4,,,G,
Mountain Cream,Scotland,1,,,G,
Mourne Dew,Ireland,4,,,G,
Moutard,France,2,2,75.00,E,
Moylan's,United States,5,1,77.00,E,
Mr. Dee,Scotland,1,,,G,
Mr. George Baxter's Cellar,Scotland,1,,,G,
Mr. Grain,Germany,1,1,89.84,C,
Mr. Larry,Scotland,1,,,G,
Mr. Santa from Speyside,Scotland,1,1,87.30,C,
Mrs. Couvreur' Choice,Scotland,3,1,90.31,B,
Mt. Logan,Canada,2,,,G,
Muckety Muck,Scotland,1,,,G,
Muckle Flugga,Scotland,5,4,80.47,D,
mühle4,Germany,2,2,79.90,E,
Mühlenthal,Germany,1,,,G,
Mühli Whiskey,Switzerland,1,1,77.50,E,
Mühlviertler Cube,Austria,1,,,G,
Muirhead's,Scotland,25,5,68.50,G,
Muirs Inn,Scotland,1,,,G,
Mulben Moor,Scotland,3,2,84.60,D,
Mull of Kintyre Music Festival,Scotland,6,2,85.00,C,
Mull-A-Mhoine,Scotland,4,4,83.22,D,
Mulroy Bay,Ireland,,,,G,
Munray,Scotland,3,1,84.75,D,
Munro's King of Kings,Scotland,1,,,G,
Murdoch's Perfection,Scotland,10,4,82.69,D,
Murmeli,Austria,1,1,79.00,E,
